week_start,week_end,metric,ios,android
2026-01-19,2026-01-25,active_users,74000.00,38000.00
2026-01-26,2026-02-01,active_users,79000.00,41000.00
2026-02-02,2026-02-08,active_users,77000.00,40000.00
2026-02-09,2026-02-15,active_users,81000.00,41000.00
2026-02-16,2026-02-22,active_users,91000.00,45000.00
2026-02-23,2026-03-01,active_users,100000.00,50000.00
2026-03-02,2026-03-08,active_users,103000.00,51000.00
2026-01-19,2026-01-25,crash_free_user,99.80,99.95
2026-01-26,2026-02-01,crash_free_user,99.85,99.94
2026-02-02,2026-02-08,crash_free_user,99.79,99.94
2026-02-09,2026-02-15,crash_free_user,99.57,99.93
2026-02-16,2026-02-22,crash_free_user,99.60,99.93
2026-02-23,2026-03-01,crash_free_user,99.89,99.93
2026-03-02,2026-03-08,crash_free_user,99.88,99.94
2026-01-19,2026-01-25,downloads,21900.00,12000.00
2026-01-26,2026-02-01,downloads,25000.00,12000.00
2026-02-02,2026-02-08,downloads,21000.00,9700.00
2026-02-09,2026-02-15,downloads,20400.00,9100.00
2026-02-16,2026-02-22,downloads,28800.00,13000.00
2026-02-23,2026-03-01,downloads,30000.00,15000.00
2026-03-02,2026-03-08,downloads,27000.00,13900.00
2026-01-19,2026-01-25,rating,3.00,3.40
2026-01-26,2026-02-01,rating,3.00,3.60
2026-02-02,2026-02-08,rating,3.00,3.63
2026-02-09,2026-02-15,rating,3.00,3.63
2026-02-16,2026-02-22,rating,2.80,3.40
2026-02-23,2026-03-01,rating,2.70,3.20
2026-03-02,2026-03-08,rating,2.80,3.30
2026-01-19,2026-01-25,uninstalls,1370.00,3000.00
2026-01-26,2026-02-01,uninstalls,2000.00,5300.00
2026-02-02,2026-02-08,uninstalls,1800.00,3600.00
2026-02-09,2026-02-15,uninstalls,1790.00,3400.00
2026-02-16,2026-02-22,uninstalls,2370.00,3800.00
2026-02-23,2026-03-01,uninstalls,2440.00,3900.00
2026-03-02,2026-03-08,uninstalls,2280.00,4000.00
